                      Candidato                                                                                                                                                                                                                                                                                                                                                      Partido Politico                                                                                                                                                                                                                                                                                                                                               Biografia                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           Trayectoria Politica  Escandalos (SI o No)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      Detalle Escandalos                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     Experiencia en Ejecucion
0                 Claudia Lopez                                                                                                                                                                                                                                                                                                                                                         Alianza Verde                                                                                                                                                                                        Autodefinida como mujer diversa, de origen popular, hija de una maestra. Politóloga y Doctora en Ciencia Política (U. de Northwestern). Investigadora académica.                                                                                                                                                                                                                                                                                                                                         Investigadora de la "Parapolítica". Senadora de la República (2014-2018). Candidata Vicepresidencial (2018). Promotora de la Consulta Anticorrupción. Alcaldesa de Bogotá (2020-2023).                    Sí                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Críticas y cuestionamientos derivados de presuntos focos de corrupción que involucraron a miembros de su colectividad, la Alianza Verde.                                                                                                                                                                                                                                                                                                                                                                                                                                                       Primera mujer electa Alcaldesa de Bogotá. Gestión enfocada en el manejo hospitalario y logístico durante la pandemia, además de agendas de diversidad.
1      Abelardo de la Espriella                                                                                     Fundador del movimiento cívico Compromiso Ciudadano (1999) y cofundador del actual partido Dignidad & Compromiso (desde 2023). Se define como un político de centro y ha hecho parte de la Alianza Verde y diversas coaliciones (Coalición Colombia, Coalición Centro Esperanza).                                                        Abogado penalista colombo-italiano y empresario. Reconocido por su ostentoso estilo de vida, posee más de 35 empresas e inversiones en bienes raíces y marcas propias (como un ron) en Colombia y Estados Unidos. Se autodenomina "El Tigre" y se perfila ideológicamente en la extrema derecha.                                                                                                                                                                                Actual precandidato presidencial para las elecciones de 2026, presentándose como un outsider de la ultraderecha. Nunca ha ocupado un cargo de elección popular. A nivel internacional, busca ser el referente colombiano de la red ultraconservadora global, manteniendo reuniones con líderes como Santiago Abascal del partido Vox en España.                    SI               Ha sido señalado por su relación y rol como mentor del abogado condenado Diego Cadena (conocido como "abogánster"), sirviendo presuntamente de enlace en la búsqueda de falsos testigos a favor del expresidente Álvaro Uribe. La Fundación para la Libertad de Prensa (FLIP) ha denunciado su patrón de "acoso judicial", registrando 109 denuncias de su parte contra periodistas para presuntamente silenciar críticas. Sus críticos también cuestionan su pasado como abogado defensor de figuras controversiales como David Murcia Guzmán (DMG) y Alex Saab (presunto testaferro de Nicolás Maduro).                                                                                                                                                                                                                                     No posee experiencia documentada en ejecución administrativa o cargos públicos. Su experiencia ejecutiva se limita al sector privado como líder de su firma de abogados, desde donde impulsó casos mediáticos que generaron reformas penales (como los casos de Rosa Elvira Cely y Natalia Ponce de León), y como administrador de sus propios negocios y corporaciones.
2         Carlos Felipe Cordoba                                                     Actualmente es precandidato a la presidencia de la República para las elecciones de 2026. Aunque no milita activamente bajo un único estandarte, se ha mencionado su interés en obtener el aval del Partido Conservador y ha sido señalado de tener cercanía o apoyo de líderes tradicionales como César Gaviria.                                              Nacido en Pereira el 3 de noviembre de 1979. Es profesional en Gobierno y Relaciones Internacionales, y abogado del Politécnico Grancolombiano. Está casado con Marcela María Yepes y vive en Bogotá. Cuenta además con una maestría y un doctorado en Derecho obtenido en la Universidad de Jaén, España.                                                                                                                                                                                            Inició su figuración nacional asumiendo como Auditor General de la República para el periodo 2015-2017. Posteriormente, entre febrero y agosto de 2018, fue director ejecutivo de la Federación Nacional de Departamentos. Su cargo más importante fue ser el 25.º Contralor General de la República de Colombia entre 2018 y 2022.                    SI  Ha enfrentado un fuerte escrutinio mediático tras revelarse que obtuvo su pregrado en derecho y su doctorado casi de manera simultánea (con 94 días de diferencia en 2021) mientras ejercía el exigente cargo de Contralor General. Sumado a esto, una investigación del periodista Juan Pablo Barrientos denunció un presunto plagio en su tesis doctoral, lo que derivó en un largo pleito judicial y fallos de tutela exigiendo rectificaciones. Adicionalmente, reportes periodísticos señalaron que durante su tiempo en la Contraloría recibió 39 veces en su despacho al hoy condenado exsenador Mario Castaño.                                                                                                                                                                                                                       Su experiencia se concentra en la dirección de los entes de control fiscal del Estado. Durante su mandato como Contralor General, su logro más publicitado fue el seguimiento al caso Hidroituango, donde su administración aseguró haber logrado recuperar 4,3 billones de pesos mediante fallos de responsabilidad fiscal, una cifra que él defiende como histórica para la entidad.
3               Santiago Botero                                                                                                                                        Movimiento independiente (promueve su candidatura bajo el lema "YoMeCreoPresidente"). Se presenta como un candidato por firmas y afirma que no le venderá "el alma a nadie", marcando distancia de los partidos tradicionales.                                                                                 Empresario y emprendedor colombiano que decidió alejarse del sector corporativo para financiar su propia carrera política. Proviene de una familia con alta influencia económica y política; por ejemplo, su primo Luis Gonzalo Botero fue viceministro de Agricultura.                                                                                                                                                                                                                                                                                                             Actual precandidato a la Presidencia de la República para las elecciones de 2026. Se perfila netamente como un outsider de derecha y no tiene ninguna trayectoria previa en cargos públicos o de elección popular.                    SI                                                                                                                                      Su incipiente campaña ha estado marcada por fuertes polémicas debido a su discurso radical. Generó gran controversia al proponer "darle balín" a corruptos, ladrones y matones. Su plan de gobierno incluye instaurar la pena de muerte, la cadena perpetua, construir megacárceles y crear una fuerza especial de choque que autodenomina los "templarios". Adicionalmente, medios alternativos han cuestionado la enorme influencia de su círculo familiar en gobiernos pasados.                                                                                                                                                                                                                                                                                                                                                                                              No posee experiencia documentada en la ejecución de recursos públicos ni en la administración del Estado. Toda su experiencia directiva y ejecutiva proviene exclusivamente del sector privado como empresario.
4                Sergio Fajardo                                                                                     Fundador del movimiento cívico Compromiso Ciudadano (1999) y cofundador del actual partido Dignidad & Compromiso (desde 2023). Se define como un político de centro y ha hecho parte de la Alianza Verde y diversas coaliciones (Coalición Colombia, Coalición Centro Esperanza).  Nacido en Medellín en 1956. Es matemático de la Universidad de los Andes, con maestría y doctorado en Matemáticas de la Universidad de Wisconsin. Previo a su ingreso a la política, forjó una sólida carrera académica como investigador y profesor en la Universidad de los Andes, la Universidad Nacional y como profesor visitante en UC Berkeley.                                                                                                                                                               Inició en el sector público en 1999. Fue elegido Alcalde de Medellín (2004-2008) y posteriormente Gobernador de Antioquia (2012-2016). Fue fórmula vicepresidencial de Antanas Mockus en 2010, candidato a la presidencia de la República en 2018 (tercer lugar) y 2022 (cuarto lugar), y anunció una nueva aspiración presidencial para las elecciones de 2026.                    Si                                                                                              Se vio involucrado en las investigaciones adelantadas por los entes de control debido a la contingencia y los retrasos del megaproyecto Hidroituango. La Contraloría General de la República (durante el mandato de Carlos Felipe Córdoba) lo vinculó a millonarios fallos de responsabilidad fiscal por decisiones tomadas en la junta directiva del proyecto durante su periodo como gobernador de Antioquia, una investigación que Fajardo defendió y calificó públicamente como una persecución política en su contra.                                                                                                                                                                                 Posee amplia experiencia ejecutiva. Como Alcalde de Medellín, impulsó el modelo de "urbanismo social", construyendo infraestructura educativa y cultural en zonas históricamente marginadas y afectadas por la violencia (como la Comuna 13). Como Gobernador de Antioquia, centró su plan de desarrollo en la educación, la lucha contra la desigualdad, la transparencia institucional y el desarrollo económico regional.
5          Juan Fernando Cristo  Inició su carrera militando históricamente en el Partido Liberal Colombiano (1990-2018), colectividad de la cual llegó a ser vocero y codirector. En 2021 fundó el movimiento político En Marcha y participó en la Coalición de la Esperanza. Actualmente, es candidato presidencial para las elecciones de 2026, buscando consolidar una opción de centro político.                                       Nació en Cúcuta, Norte de Santander, el 11 de julio de 1964. Es abogado egresado de la Universidad de los Andes en Bogotá. Es hijo del inmolado dirigente liberal Jorge Cristo Sahium y de María Eugenia Bustos, un trágico antecedente familiar que ha marcado su discurso enfocado en la conciliación y la paz.  Cuenta con una prolongada carrera en el Estado. En los años 90 fue Cónsul General en Caracas, Alto Consejero Presidencial de Comunicaciones (1994-1998) y Viceministro de Relaciones Exteriores (1998-1999). Fue Senador de la República por cuatro periodos (1998-2014), llegando a ser Presidente del Congreso. Destaca su paso como Ministro del Interior en dos ocasiones: durante el gobierno de Juan Manuel Santos (2014-2017) y, más recientemente, en el gobierno de Gustavo Petro (julio de 2024 a febrero de 2025).                    No                                                                                                                                                                                   En las fuentes evaluadas no registra procesos formales ni escándalos de corrupción patrimonial. Su reciente figuración mediática ha girado en torno a su renuncia al gabinete del presidente Petro para iniciar su campaña presidencial, desde la cual ha criticado la fuerte polarización política y ha cuestionado públicamente a figuras como su sucesor en el ministerio, Armando Benedetti, por sus polémicas salidas en medios.  Posee una sólida experiencia en articulación ejecutiva y legislativa. Durante su mandato como Ministro del Interior con Santos, fue clave en la implementación de la Ley de Víctimas y Restitución de Tierras, la Ley de Equilibrio de Poderes y el impulso del Plebiscito por la Paz. En su segunda etapa ministerial bajo el gobierno Petro, promovió el llamado "Acuerdo Nacional", presentó un Plan de Choque ante la ONU para acelerar el Acuerdo de Paz, y logró mayorías para avanzar en el trámite de la Reforma al Sistema General de Participaciones (SGP), buscando mayor autonomía territorial.
6               Daniel Palacios                                                                                                                                                                                                                                                                                                 Centro Democrático (Cofundador) / Movimiento "Rescatemos a Colombia".                                                                                                                                                                                                                       Politólogo de FIU. Nieto de Aníbal Martínez Zuleta. Exministro del Interior. Formado en seguridad nacional y relaciones públicas.                                                                                                                                                                                                                                                                                                                                                                           Coordinador juvenil campaign 2002; Asesor MinDefensa; Concejal y Presidente del Concejo de Bogotá; Viceministro del Interior; Ministro del Interior.                    Si                                                                                                                                                                                                                                                                                                                                                                                                                                                               Cuestionamiento de validez y nivel de títulos en Harvard Extension School; Demanda por violación de la Ley de Cuotas; Convalidación irregular de títulos.                                                                                                                                                                                                                                                                                                                                                                                                                           Manejo de la crisis del Paro Nacional 2021; Dirección de la UNP (e); Implementación de programas de transparencia y lucha contra trata de personas; Logros en seguridad distrital.
7             Luis Carlos Reyes                                                                                                                                                                                                                                                                                                                                         Pacto Histórico / MinComercio                                                                                                                                                                                                                                                                      Economista e historiador (Ph.D.). Exdirector de la DIAN conocido como "Mr. Taxes".                                                                                                                                                                                                                                                                                                                                                                                                                                       Director de la DIAN (2022-2024) y Ministro de Comercio, Industria y Turismo (2024-2026).                    SÍ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   Investigación de la Procuraduría (2025) por presuntas irregularidades en metas de recaudo tributario.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      Alta: Gestión técnica en la DIAN y liderazgo en la cartera de Comercio.
8              Mauricio Lizcano                                                                                                                                                                                                                                                                                                                                           Alianza con los Colombianos                                                                                                                                                                                                                                                                     Abogado con maestrías en Harvard y MIT. Hijo del excongresista Óscar Tulio Lizcano.                                                                                                                                                                                                                                                                                                                                                                                                                                                        Expresidente del Senado, Director del DAPRE y Ministro TIC (2023-2026).                    SÍ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             Cuestionamientos históricos por manejo de cuotas políticas; recientemente mencionado por gestión en MinTIC.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  Alta: Ha dirigido dos de las entidades más operativas del Gobierno Nacional (DAPRE/MinTIC).
9                  Roy Barreras                                                                                                                                                                                                                                                                                                                                                   La Fuerza de la Paz                                                                                                                                                                                                                                                                             Médico y filósofo. Ex-negociador de paz y figura clave en varios gobiernos.                                                                                                                                                                                                                                                                                                                                                                                                                                                   Senador, Presidente del Congreso y Embajador en el Reino Unido (hasta 2025).                    SÍ                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                Relacionado con los "Petrovideos" (2022) y críticas por cambios frecuentes de partido ("voltearepismo").                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               Media-Alta: Gran capacidad de gestión legislativa y diplomática; falta experiencia en alcaldías/gobernaciones.
